 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 110002 Ariquemes
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3976;3874;7850
"De 5 a 9 anos";4595;4472;9067
"De 10 a 14 anos";4773;4605;9378
"De 15 a 19 anos";4557;4639;9196
"De 20 a 24 anos";4456;4504;8960
"De 25 a 29 anos";4138;4283;8421
"De 30 a 34 anos";3713;3889;7602
"De 35 a 39 anos";3418;3479;6897
"De 40 a 44 anos";3243;3035;6278
"De 45 a 49 anos";2571;2364;4935
"De 50 a 54 anos";2002;1783;3785
"De 55 a 59 anos";1457;1416;2873
"De 60 a 64 anos";1073;987;2060
"De 65 a 69 anos";767;703;1470
"De 70 a 74 anos";595;483;1078
"De 75 a 79 anos";361;299;660
"De 80 anos ou mais";308;270;578
"Total";46003;45085;91088
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

