 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 110011 Jaru
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2717;2649;5366
"De 5 a 9 anos";2817;2815;5632
"De 10 a 14 anos";2928;2930;5858
"De 15 a 19 anos";2994;2888;5882
"De 20 a 24 anos";2861;2872;5733
"De 25 a 29 anos";2463;2507;4970
"De 30 a 34 anos";2072;2128;4200
"De 35 a 39 anos";1957;1804;3761
"De 40 a 44 anos";1646;1511;3157
"De 45 a 49 anos";1311;1228;2539
"De 50 a 54 anos";993;955;1948
"De 55 a 59 anos";748;703;1451
"De 60 a 64 anos";601;576;1177
"De 65 a 69 anos";528;430;958
"De 70 a 74 anos";356;307;663
"De 75 a 79 anos";222;174;396
"De 80 anos ou mais";203;154;357
"Total";27417;26631;54048
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

