 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 110045 Buritis
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1687;1695;3382
"De 5 a 9 anos";1650;1636;3286
"De 10 a 14 anos";1603;1583;3186
"De 15 a 19 anos";1609;1551;3160
"De 20 a 24 anos";1489;1330;2819
"De 25 a 29 anos";1262;1098;2360
"De 30 a 34 anos";1138;944;2082
"De 35 a 39 anos";986;824;1810
"De 40 a 44 anos";814;653;1467
"De 45 a 49 anos";650;496;1146
"De 50 a 54 anos";518;319;837
"De 55 a 59 anos";418;228;646
"De 60 a 64 anos";290;130;420
"De 65 a 69 anos";167;77;244
"De 70 a 74 anos";83;48;131
"De 75 a 79 anos";41;22;63
"De 80 anos ou mais";22;19;41
"Total";14427;12653;27080
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

