 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 120035 Marechal Thaumaturgo
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1329;1303;2632
"De 5 a 9 anos";1244;1185;2429
"De 10 a 14 anos";1088;982;2070
"De 15 a 19 anos";871;777;1648
"De 20 a 24 anos";643;571;1214
"De 25 a 29 anos";584;541;1125
"De 30 a 34 anos";417;358;775
"De 35 a 39 anos";345;284;629
"De 40 a 44 anos";258;186;444
"De 45 a 49 anos";187;175;362
"De 50 a 54 anos";153;120;273
"De 55 a 59 anos";105;95;200
"De 60 a 64 anos";93;70;163
"De 65 a 69 anos";51;62;113
"De 70 a 74 anos";45;42;87
"De 75 a 79 anos";33;23;56
"De 80 anos ou mais";27;18;45
"Total";7473;6792;14265
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

