 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 120042 Rodrigues Alves
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";829;842;1671
"De 5 a 9 anos";700;703;1403
"De 10 a 14 anos";597;571;1168
"De 15 a 19 anos";562;501;1063
"De 20 a 24 anos";460;387;847
"De 25 a 29 anos";339;295;634
"De 30 a 34 anos";247;205;452
"De 35 a 39 anos";205;159;364
"De 40 a 44 anos";158;125;283
"De 45 a 49 anos";132;109;241
"De 50 a 54 anos";115;98;213
"De 55 a 59 anos";107;91;198
"De 60 a 64 anos";74;56;130
"De 65 a 69 anos";48;42;90
"De 70 a 74 anos";33;24;57
"De 75 a 79 anos";22;18;40
"De 80 anos ou mais";23;19;42
"Total";4651;4245;8896
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

