 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 120070 Xapuri
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";955;906;1861
"De 5 a 9 anos";942;881;1823
"De 10 a 14 anos";833;800;1633
"De 15 a 19 anos";744;695;1439
"De 20 a 24 anos";659;612;1271
"De 25 a 29 anos";527;487;1014
"De 30 a 34 anos";462;400;862
"De 35 a 39 anos";381;367;748
"De 40 a 44 anos";302;322;624
"De 45 a 49 anos";285;259;544
"De 50 a 54 anos";242;218;460
"De 55 a 59 anos";199;183;382
"De 60 a 64 anos";162;137;299
"De 65 a 69 anos";129;109;238
"De 70 a 74 anos";113;81;194
"De 75 a 79 anos";89;64;153
"De 80 anos ou mais";61;68;129
"Total";7085;6589;13674
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

