 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 130090 Canutama
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";712;658;1370
"De 5 a 9 anos";743;704;1447
"De 10 a 14 anos";759;756;1515
"De 15 a 19 anos";717;661;1378
"De 20 a 24 anos";688;593;1281
"De 25 a 29 anos";608;499;1107
"De 30 a 34 anos";523;411;934
"De 35 a 39 anos";393;319;712
"De 40 a 44 anos";377;292;669
"De 45 a 49 anos";281;237;518
"De 50 a 54 anos";225;192;417
"De 55 a 59 anos";181;156;337
"De 60 a 64 anos";145;102;247
"De 65 a 69 anos";114;85;199
"De 70 a 74 anos";78;45;123
"De 75 a 79 anos";42;33;75
"De 80 anos ou mais";32;22;54
"Total";6618;5765;12383
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

