 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 130350 Pauini
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1499;1444;2943
"De 5 a 9 anos";1342;1257;2599
"De 10 a 14 anos";1219;1087;2306
"De 15 a 19 anos";1106;1046;2152
"De 20 a 24 anos";1012;954;1966
"De 25 a 29 anos";741;699;1440
"De 30 a 34 anos";540;479;1019
"De 35 a 39 anos";423;367;790
"De 40 a 44 anos";382;350;732
"De 45 a 49 anos";293;274;567
"De 50 a 54 anos";223;183;406
"De 55 a 59 anos";180;166;346
"De 60 a 64 anos";133;125;258
"De 65 a 69 anos";101;97;198
"De 70 a 74 anos";84;58;142
"De 75 a 79 anos";46;30;76
"De 80 anos ou mais";31;31;62
"Total";9355;8647;18002
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

