 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 130370 Santo Antônio do Içá
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2386;2303;4689
"De 5 a 9 anos";2709;2515;5224
"De 10 a 14 anos";2395;2238;4633
"De 15 a 19 anos";1768;1530;3298
"De 20 a 24 anos";1199;1170;2369
"De 25 a 29 anos";988;965;1953
"De 30 a 34 anos";719;618;1337
"De 35 a 39 anos";732;730;1462
"De 40 a 44 anos";574;512;1086
"De 45 a 49 anos";463;391;854
"De 50 a 54 anos";294;282;576
"De 55 a 59 anos";231;167;398
"De 60 a 64 anos";179;141;320
"De 65 a 69 anos";131;112;243
"De 70 a 74 anos";89;65;154
"De 75 a 79 anos";58;48;106
"De 80 anos ou mais";85;77;162
"Total";15000;13864;28864
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

