 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 130400 Silves
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";620;602;1222
"De 5 a 9 anos";614;558;1172
"De 10 a 14 anos";560;514;1074
"De 15 a 19 anos";475;427;902
"De 20 a 24 anos";397;325;722
"De 25 a 29 anos";335;283;618
"De 30 a 34 anos";284;240;524
"De 35 a 39 anos";244;195;439
"De 40 a 44 anos";201;172;373
"De 45 a 49 anos";194;156;350
"De 50 a 54 anos";164;133;297
"De 55 a 59 anos";117;92;209
"De 60 a 64 anos";97;67;164
"De 65 a 69 anos";66;52;118
"De 70 a 74 anos";45;48;93
"De 75 a 79 anos";41;38;79
"De 80 anos ou mais";33;27;60
"Total";4487;3929;8416
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

