 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 140045 Pacaraima
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";787;766;1553
"De 5 a 9 anos";747;695;1442
"De 10 a 14 anos";666;650;1316
"De 15 a 19 anos";507;509;1016
"De 20 a 24 anos";385;404;789
"De 25 a 29 anos";386;370;756
"De 30 a 34 anos";359;314;673
"De 35 a 39 anos";292;264;556
"De 40 a 44 anos";246;204;450
"De 45 a 49 anos";215;182;397
"De 50 a 54 anos";173;129;302
"De 55 a 59 anos";132;109;241
"De 60 a 64 anos";94;61;155
"De 65 a 69 anos";61;42;103
"De 70 a 74 anos";34;34;68
"De 75 a 79 anos";22;24;46
"De 80 anos ou mais";37;23;60
"Total";5143;4780;9923
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

