 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 140050 São João da Baliza
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";391;392;783
"De 5 a 9 anos";346;323;669
"De 10 a 14 anos";344;309;653
"De 15 a 19 anos";343;326;669
"De 20 a 24 anos";290;259;549
"De 25 a 29 anos";229;195;424
"De 30 a 34 anos";193;144;337
"De 35 a 39 anos";153;152;305
"De 40 a 44 anos";127;121;248
"De 45 a 49 anos";116;88;204
"De 50 a 54 anos";106;69;175
"De 55 a 59 anos";91;53;144
"De 60 a 64 anos";58;37;95
"De 65 a 69 anos";40;26;66
"De 70 a 74 anos";21;15;36
"De 75 a 79 anos";8;7;15
"De 80 anos ou mais";17;9;26
"Total";2873;2525;5398
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

