 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 140060 São Luiz
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";328;316;644
"De 5 a 9 anos";374;343;717
"De 10 a 14 anos";379;356;735
"De 15 a 19 anos";393;337;730
"De 20 a 24 anos";325;271;596
"De 25 a 29 anos";225;201;426
"De 30 a 34 anos";187;170;357
"De 35 a 39 anos";185;173;358
"De 40 a 44 anos";169;158;327
"De 45 a 49 anos";149;118;267
"De 50 a 54 anos";117;80;197
"De 55 a 59 anos";72;50;122
"De 60 a 64 anos";51;39;90
"De 65 a 69 anos";39;31;70
"De 70 a 74 anos";27;20;47
"De 75 a 79 anos";12;16;28
"De 80 anos ou mais";18;8;26
"Total";3050;2687;5737
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

