 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 140070 Uiramutã
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";903;848;1751
"De 5 a 9 anos";755;737;1492
"De 10 a 14 anos";635;616;1251
"De 15 a 19 anos";484;470;954
"De 20 a 24 anos";366;336;702
"De 25 a 29 anos";309;276;585
"De 30 a 34 anos";241;208;449
"De 35 a 39 anos";196;155;351
"De 40 a 44 anos";170;151;321
"De 45 a 49 anos";143;109;252
"De 50 a 54 anos";109;76;185
"De 55 a 59 anos";73;51;124
"De 60 a 64 anos";44;46;90
"De 65 a 69 anos";33;49;82
"De 70 a 74 anos";34;39;73
"De 75 a 79 anos";26;22;48
"De 80 anos ou mais";15;24;39
"Total";4536;4213;8749
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

