 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150125 Bannach
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";144;137;281
"De 5 a 9 anos";152;133;285
"De 10 a 14 anos";158;134;292
"De 15 a 19 anos";145;134;279
"De 20 a 24 anos";141;122;263
"De 25 a 29 anos";130;108;238
"De 30 a 34 anos";121;121;242
"De 35 a 39 anos";129;122;251
"De 40 a 44 anos";116;107;223
"De 45 a 49 anos";128;89;217
"De 50 a 54 anos";107;70;177
"De 55 a 59 anos";87;67;154
"De 60 a 64 anos";73;63;136
"De 65 a 69 anos";54;57;111
"De 70 a 74 anos";35;40;75
"De 75 a 79 anos";22;25;47
"De 80 anos ou mais";19;20;39
"Total";1761;1549;3310
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

