 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150140 Belém
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";53598;50744;104342
"De 5 a 9 anos";56816;54620;111436
"De 10 a 14 anos";61134;60253;121387
"De 15 a 19 anos";62217;65271;127488
"De 20 a 24 anos";64358;70279;134637
"De 25 a 29 anos";65331;72891;138222
"De 30 a 34 anos";60200;67968;128168
"De 35 a 39 anos";53224;60360;113584
"De 40 a 44 anos";47155;53620;100775
"De 45 a 49 anos";39871;46060;85931
"De 50 a 54 anos";33614;39977;73591
"De 55 a 59 anos";26028;32205;58233
"De 60 a 64 anos";19276;25154;44430
"De 65 a 69 anos";13840;19182;33022
"De 70 a 74 anos";9696;14450;24146
"De 75 a 79 anos";6117;10181;16298
"De 80 anos ou mais";6161;12826;18987
"Total";678636;756041;1434677
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

