 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150145 Belterra
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";921;917;1838
"De 5 a 9 anos";1101;999;2100
"De 10 a 14 anos";1062;934;1996
"De 15 a 19 anos";904;789;1693
"De 20 a 24 anos";620;630;1250
"De 25 a 29 anos";645;618;1263
"De 30 a 34 anos";634;583;1217
"De 35 a 39 anos";502;448;950
"De 40 a 44 anos";439;395;834
"De 45 a 49 anos";419;355;774
"De 50 a 54 anos";332;314;646
"De 55 a 59 anos";302;323;625
"De 60 a 64 anos";227;218;445
"De 65 a 69 anos";198;172;370
"De 70 a 74 anos";169;150;319
"De 75 a 79 anos";107;91;198
"De 80 anos ou mais";103;89;192
"Total";8685;8025;16710
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

