 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150309 Goianésia do Pará
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1776;1795;3571
"De 5 a 9 anos";1733;1682;3415
"De 10 a 14 anos";1759;1741;3500
"De 15 a 19 anos";1640;1611;3251
"De 20 a 24 anos";1569;1569;3138
"De 25 a 29 anos";1522;1433;2955
"De 30 a 34 anos";1319;1199;2518
"De 35 a 39 anos";1028;839;1867
"De 40 a 44 anos";816;739;1555
"De 45 a 49 anos";706;578;1284
"De 50 a 54 anos";589;459;1048
"De 55 a 59 anos";462;367;829
"De 60 a 64 anos";303;245;548
"De 65 a 69 anos";235;168;403
"De 70 a 74 anos";172;136;308
"De 75 a 79 anos";89;58;147
"De 80 anos ou mais";69;52;121
"Total";15787;14671;30458
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

