 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150430 Maracanã
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1632;1576;3208
"De 5 a 9 anos";1825;1809;3634
"De 10 a 14 anos";1812;1769;3581
"De 15 a 19 anos";1668;1534;3202
"De 20 a 24 anos";1397;1196;2593
"De 25 a 29 anos";1177;982;2159
"De 30 a 34 anos";935;838;1773
"De 35 a 39 anos";838;719;1557
"De 40 a 44 anos";693;667;1360
"De 45 a 49 anos";626;563;1189
"De 50 a 54 anos";528;495;1023
"De 55 a 59 anos";482;419;901
"De 60 a 64 anos";435;367;802
"De 65 a 69 anos";339;325;664
"De 70 a 74 anos";254;243;497
"De 75 a 79 anos";166;154;320
"De 80 anos ou mais";197;201;398
"Total";15004;13857;28861
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

