 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150510 Óbidos
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3062;2898;5960
"De 5 a 9 anos";3142;2999;6141
"De 10 a 14 anos";3029;2848;5877
"De 15 a 19 anos";2673;2506;5179
"De 20 a 24 anos";2187;2034;4221
"De 25 a 29 anos";2031;1990;4021
"De 30 a 34 anos";1908;1746;3654
"De 35 a 39 anos";1619;1442;3061
"De 40 a 44 anos";1407;1191;2598
"De 45 a 49 anos";1171;988;2159
"De 50 a 54 anos";1008;831;1839
"De 55 a 59 anos";836;813;1649
"De 60 a 64 anos";664;643;1307
"De 65 a 69 anos";593;528;1121
"De 70 a 74 anos";437;401;838
"De 75 a 79 anos";252;255;507
"De 80 anos ou mais";254;324;578
"Total";26273;24437;50710
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

