 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150670 Santana do Araguaia
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2925;2799;5724
"De 5 a 9 anos";3249;3108;6357
"De 10 a 14 anos";3505;3499;7004
"De 15 a 19 anos";3697;3492;7189
"De 20 a 24 anos";3083;3071;6154
"De 25 a 29 anos";3325;3221;6546
"De 30 a 34 anos";3149;2692;5841
"De 35 a 39 anos";2881;2427;5308
"De 40 a 44 anos";2314;1729;4043
"De 45 a 49 anos";1758;1251;3009
"De 50 a 54 anos";1264;1008;2272
"De 55 a 59 anos";1057;769;1826
"De 60 a 64 anos";704;521;1225
"De 65 a 69 anos";561;335;896
"De 70 a 74 anos";390;208;598
"De 75 a 79 anos";202;124;326
"De 80 anos ou mais";134;96;230
"Total";34198;30350;64548
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

