 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150690 Santarém Novo
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";321;307;628
"De 5 a 9 anos";328;313;641
"De 10 a 14 anos";305;307;612
"De 15 a 19 anos";329;315;644
"De 20 a 24 anos";350;317;667
"De 25 a 29 anos";292;275;567
"De 30 a 34 anos";272;265;537
"De 35 a 39 anos";260;229;489
"De 40 a 44 anos";207;182;389
"De 45 a 49 anos";163;153;316
"De 50 a 54 anos";145;131;276
"De 55 a 59 anos";115;102;217
"De 60 a 64 anos";94;90;184
"De 65 a 69 anos";80;77;157
"De 70 a 74 anos";61;61;122
"De 75 a 79 anos";42;42;84
"De 80 anos ou mais";43;45;88
"Total";3407;3211;6618
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

