 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150710 São Caetano de Odivelas
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";766;732;1498
"De 5 a 9 anos";812;745;1557
"De 10 a 14 anos";855;769;1624
"De 15 a 19 anos";878;790;1668
"De 20 a 24 anos";857;821;1678
"De 25 a 29 anos";812;741;1553
"De 30 a 34 anos";748;694;1442
"De 35 a 39 anos";666;635;1301
"De 40 a 44 anos";590;545;1135
"De 45 a 49 anos";506;476;982
"De 50 a 54 anos";430;382;812
"De 55 a 59 anos";361;341;702
"De 60 a 64 anos";321;311;632
"De 65 a 69 anos";245;208;453
"De 70 a 74 anos";173;164;337
"De 75 a 79 anos";127;136;263
"De 80 anos ou mais";120;131;251
"Total";9267;8621;17888
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

