 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150795 Tailândia
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3534;3383;6917
"De 5 a 9 anos";3472;3413;6885
"De 10 a 14 anos";3054;3082;6136
"De 15 a 19 anos";2878;2854;5732
"De 20 a 24 anos";2637;2550;5187
"De 25 a 29 anos";2203;2100;4303
"De 30 a 34 anos";1858;1635;3493
"De 35 a 39 anos";1496;1201;2697
"De 40 a 44 anos";1113;856;1969
"De 45 a 49 anos";841;661;1502
"De 50 a 54 anos";619;479;1098
"De 55 a 59 anos";477;349;826
"De 60 a 64 anos";358;261;619
"De 65 a 69 anos";238;156;394
"De 70 a 74 anos";143;96;239
"De 75 a 79 anos";84;51;135
"De 80 anos ou mais";63;46;109
"Total";25068;23173;48241
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

