 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150810 Tucuruí
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";5073;4851;9924
"De 5 a 9 anos";5670;5693;11363
"De 10 a 14 anos";5721;5591;11312
"De 15 a 19 anos";5590;5830;11420
"De 20 a 24 anos";5203;5412;10615
"De 25 a 29 anos";5077;5203;10280
"De 30 a 34 anos";4595;4716;9311
"De 35 a 39 anos";3866;4021;7887
"De 40 a 44 anos";3048;3099;6147
"De 45 a 49 anos";2435;2558;4993
"De 50 a 54 anos";1938;2209;4147
"De 55 a 59 anos";1699;1782;3481
"De 60 a 64 anos";1330;1241;2571
"De 65 a 69 anos";820;786;1606
"De 70 a 74 anos";586;553;1139
"De 75 a 79 anos";377;363;740
"De 80 anos ou mais";328;338;666
"Total";53356;54246;107602
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

