 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 150830 Viseu
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3726;3551;7277
"De 5 a 9 anos";3810;3490;7300
"De 10 a 14 anos";3687;3314;7001
"De 15 a 19 anos";3429;3142;6571
"De 20 a 24 anos";3084;2625;5709
"De 25 a 29 anos";2639;2321;4960
"De 30 a 34 anos";2291;2100;4391
"De 35 a 39 anos";1805;1572;3377
"De 40 a 44 anos";1484;1308;2792
"De 45 a 49 anos";1233;1099;2332
"De 50 a 54 anos";1044;929;1973
"De 55 a 59 anos";866;827;1693
"De 60 a 64 anos";749;649;1398
"De 65 a 69 anos";536;443;979
"De 70 a 74 anos";382;377;759
"De 75 a 79 anos";269;267;536
"De 80 anos ou mais";288;271;559
"Total";31322;28285;59607
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

