 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 160021 Cutias
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";339;331;670
"De 5 a 9 anos";317;304;621
"De 10 a 14 anos";287;296;583
"De 15 a 19 anos";253;242;495
"De 20 a 24 anos";203;209;412
"De 25 a 29 anos";166;154;320
"De 30 a 34 anos";157;129;286
"De 35 a 39 anos";115;101;216
"De 40 a 44 anos";100;81;181
"De 45 a 49 anos";88;66;154
"De 50 a 54 anos";61;42;103
"De 55 a 59 anos";46;31;77
"De 60 a 64 anos";29;24;53
"De 65 a 69 anos";24;24;48
"De 70 a 74 anos";14;17;31
"De 75 a 79 anos";9;7;16
"De 80 anos ou mais";11;10;21
"Total";2219;2068;4287
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

