 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 160053 Porto Grande
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1099;1055;2154
"De 5 a 9 anos";1169;1129;2298
"De 10 a 14 anos";1068;995;2063
"De 15 a 19 anos";909;838;1747
"De 20 a 24 anos";761;720;1481
"De 25 a 29 anos";721;691;1412
"De 30 a 34 anos";645;578;1223
"De 35 a 39 anos";541;520;1061
"De 40 a 44 anos";488;384;872
"De 45 a 49 anos";420;303;723
"De 50 a 54 anos";337;225;562
"De 55 a 59 anos";251;162;413
"De 60 a 64 anos";169;115;284
"De 65 a 69 anos";147;83;230
"De 70 a 74 anos";87;61;148
"De 75 a 79 anos";52;37;89
"De 80 anos ou mais";37;36;73
"Total";8901;7932;16833
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

