 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 160060 Santana
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";5956;5739;11695
"De 5 a 9 anos";6363;6182;12545
"De 10 a 14 anos";6136;6043;12179
"De 15 a 19 anos";5794;5799;11593
"De 20 a 24 anos";5337;5486;10823
"De 25 a 29 anos";4697;4875;9572
"De 30 a 34 anos";3886;4037;7923
"De 35 a 39 anos";3254;3426;6680
"De 40 a 44 anos";2578;2584;5162
"De 45 a 49 anos";1949;1899;3848
"De 50 a 54 anos";1539;1602;3141
"De 55 a 59 anos";1179;1174;2353
"De 60 a 64 anos";869;834;1703
"De 65 a 69 anos";682;726;1408
"De 70 a 74 anos";478;464;942
"De 75 a 79 anos";315;316;631
"De 80 anos ou mais";273;380;653
"Total";51285;51566;102851
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

