 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 170210 Araguaína
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";6936;6645;13581
"De 5 a 9 anos";7307;7224;14531
"De 10 a 14 anos";7492;7589;15081
"De 15 a 19 anos";7464;7611;15075
"De 20 a 24 anos";7138;7724;14862
"De 25 a 29 anos";6420;6932;13352
"De 30 a 34 anos";5369;5717;11086
"De 35 a 39 anos";4545;5072;9617
"De 40 a 44 anos";3809;4150;7959
"De 45 a 49 anos";2995;3242;6237
"De 50 a 54 anos";2401;2499;4900
"De 55 a 59 anos";1955;1984;3939
"De 60 a 64 anos";1405;1467;2872
"De 65 a 69 anos";1179;1185;2364
"De 70 a 74 anos";836;882;1718
"De 75 a 79 anos";533;579;1112
"De 80 anos ou mais";526;578;1104
"Total";68310;71080;139390
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

