 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 170240 Arraias
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";506;484;990
"De 5 a 9 anos";531;528;1059
"De 10 a 14 anos";657;634;1291
"De 15 a 19 anos";563;558;1121
"De 20 a 24 anos";487;450;937
"De 25 a 29 anos";417;383;800
"De 30 a 34 anos";370;396;766
"De 35 a 39 anos";333;343;676
"De 40 a 44 anos";318;285;603
"De 45 a 49 anos";285;265;550
"De 50 a 54 anos";248;254;502
"De 55 a 59 anos";238;215;453
"De 60 a 64 anos";177;155;332
"De 65 a 69 anos";149;127;276
"De 70 a 74 anos";109;109;218
"De 75 a 79 anos";75;69;144
"De 80 anos ou mais";82;111;193
"Total";5545;5366;10911
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

