 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 170305 Bandeirantes do Tocantins
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";171;156;327
"De 5 a 9 anos";183;163;346
"De 10 a 14 anos";156;153;309
"De 15 a 19 anos";145;135;280
"De 20 a 24 anos";147;134;281
"De 25 a 29 anos";144;130;274
"De 30 a 34 anos";140;111;251
"De 35 a 39 anos";120;97;217
"De 40 a 44 anos";88;71;159
"De 45 a 49 anos";66;56;122
"De 50 a 54 anos";56;52;108
"De 55 a 59 anos";54;44;98
"De 60 a 64 anos";47;40;87
"De 65 a 69 anos";31;26;57
"De 70 a 74 anos";24;11;35
"De 75 a 79 anos";9;11;20
"De 80 anos ou mais";12;12;24
"Total";1593;1402;2995
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

