 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 170360 Brasilândia do Tocantins
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";96;98;194
"De 5 a 9 anos";119;113;232
"De 10 a 14 anos";113;108;221
"De 15 a 19 anos";95;100;195
"De 20 a 24 anos";84;94;178
"De 25 a 29 anos";84;79;163
"De 30 a 34 anos";90;80;170
"De 35 a 39 anos";80;69;149
"De 40 a 44 anos";70;60;130
"De 45 a 49 anos";55;44;99
"De 50 a 54 anos";46;31;77
"De 55 a 59 anos";33;32;65
"De 60 a 64 anos";26;29;55
"De 65 a 69 anos";28;22;50
"De 70 a 74 anos";21;20;41
"De 75 a 79 anos";19;12;31
"De 80 anos ou mais";13;8;21
"Total";1072;999;2071
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

