 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171245 Luzinópolis
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";148;143;291
"De 5 a 9 anos";138;132;270
"De 10 a 14 anos";133;127;260
"De 15 a 19 anos";130;126;256
"De 20 a 24 anos";110;107;217
"De 25 a 29 anos";92;81;173
"De 30 a 34 anos";77;62;139
"De 35 a 39 anos";66;56;122
"De 40 a 44 anos";50;53;103
"De 45 a 49 anos";46;47;93
"De 50 a 54 anos";40;42;82
"De 55 a 59 anos";37;32;69
"De 60 a 64 anos";35;25;60
"De 65 a 69 anos";31;24;55
"De 70 a 74 anos";16;13;29
"De 75 a 79 anos";9;8;17
"De 80 anos ou mais";17;12;29
"Total";1175;1090;2265
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

