 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171270 Mateiros
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";149;151;300
"De 5 a 9 anos";143;128;271
"De 10 a 14 anos";150;128;278
"De 15 a 19 anos";148;121;269
"De 20 a 24 anos";110;100;210
"De 25 a 29 anos";84;85;169
"De 30 a 34 anos";83;76;159
"De 35 a 39 anos";86;65;151
"De 40 a 44 anos";67;59;126
"De 45 a 49 anos";62;40;102
"De 50 a 54 anos";49;32;81
"De 55 a 59 anos";29;26;55
"De 60 a 64 anos";25;20;45
"De 65 a 69 anos";21;18;39
"De 70 a 74 anos";10;12;22
"De 75 a 79 anos";9;8;17
"De 80 anos ou mais";15;9;24
"Total";1240;1078;2318
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

