 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171395 Muricilândia
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";188;178;366
"De 5 a 9 anos";187;166;353
"De 10 a 14 anos";166;149;315
"De 15 a 19 anos";151;147;298
"De 20 a 24 anos";144;142;286
"De 25 a 29 anos";125;111;236
"De 30 a 34 anos";102;90;192
"De 35 a 39 anos";97;78;175
"De 40 a 44 anos";78;65;143
"De 45 a 49 anos";70;60;130
"De 50 a 54 anos";56;49;105
"De 55 a 59 anos";50;37;87
"De 60 a 64 anos";42;36;78
"De 65 a 69 anos";34;33;67
"De 70 a 74 anos";27;25;52
"De 75 a 79 anos";18;13;31
"De 80 anos ou mais";17;16;33
"Total";1552;1395;2947
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

