 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171420 Natividade
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";390;372;762
"De 5 a 9 anos";399;379;778
"De 10 a 14 anos";378;343;721
"De 15 a 19 anos";387;369;756
"De 20 a 24 anos";425;421;846
"De 25 a 29 anos";403;374;777
"De 30 a 34 anos";366;342;708
"De 35 a 39 anos";330;325;655
"De 40 a 44 anos";303;286;589
"De 45 a 49 anos";288;254;542
"De 50 a 54 anos";261;223;484
"De 55 a 59 anos";208;209;417
"De 60 a 64 anos";171;169;340
"De 65 a 69 anos";134;139;273
"De 70 a 74 anos";101;124;225
"De 75 a 79 anos";74;81;155
"De 80 anos ou mais";99;106;205
"Total";4717;4516;9233
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

