 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171630 Pau D'Arco
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";224;192;416
"De 5 a 9 anos";231;201;432
"De 10 a 14 anos";251;230;481
"De 15 a 19 anos";270;231;501
"De 20 a 24 anos";224;189;413
"De 25 a 29 anos";191;172;363
"De 30 a 34 anos";167;175;342
"De 35 a 39 anos";161;154;315
"De 40 a 44 anos";160;142;302
"De 45 a 49 anos";146;124;270
"De 50 a 54 anos";127;99;226
"De 55 a 59 anos";110;82;192
"De 60 a 64 anos";93;65;158
"De 65 a 69 anos";67;50;117
"De 70 a 74 anos";57;35;92
"De 75 a 79 anos";36;22;58
"De 80 anos ou mais";26;20;46
"Total";2541;2183;4724
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

