 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171630 Pau D'Arco
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";217;192;409
"De 5 a 9 anos";231;195;426
"De 10 a 14 anos";240;214;454
"De 15 a 19 anos";266;229;495
"De 20 a 24 anos";231;195;426
"De 25 a 29 anos";194;173;367
"De 30 a 34 anos";173;174;347
"De 35 a 39 anos";160;158;318
"De 40 a 44 anos";162;143;305
"De 45 a 49 anos";150;129;279
"De 50 a 54 anos";132;101;233
"De 55 a 59 anos";112;84;196
"De 60 a 64 anos";96;68;164
"De 65 a 69 anos";69;51;120
"De 70 a 74 anos";55;37;92
"De 75 a 79 anos";40;23;63
"De 80 anos ou mais";27;21;48
"Total";2555;2187;4742
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

