 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171870 Rio dos Bois
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";121;114;235
"De 5 a 9 anos";116;105;221
"De 10 a 14 anos";113;105;218
"De 15 a 19 anos";114;108;222
"De 20 a 24 anos";128;107;235
"De 25 a 29 anos";116;100;216
"De 30 a 34 anos";94;104;198
"De 35 a 39 anos";112;110;222
"De 40 a 44 anos";120;97;217
"De 45 a 49 anos";85;87;172
"De 50 a 54 anos";90;85;175
"De 55 a 59 anos";88;61;149
"De 60 a 64 anos";67;47;114
"De 65 a 69 anos";56;34;90
"De 70 a 74 anos";31;19;50
"De 75 a 79 anos";20;13;33
"De 80 anos ou mais";27;17;44
"Total";1498;1313;2811
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

