 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 171880 Sampaio
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";248;220;468
"De 5 a 9 anos";207;214;421
"De 10 a 14 anos";199;191;390
"De 15 a 19 anos";162;163;325
"De 20 a 24 anos";118;111;229
"De 25 a 29 anos";79;75;154
"De 30 a 34 anos";93;86;179
"De 35 a 39 anos";67;75;142
"De 40 a 44 anos";56;56;112
"De 45 a 49 anos";42;46;88
"De 50 a 54 anos";29;45;74
"De 55 a 59 anos";40;32;72
"De 60 a 64 anos";28;40;68
"De 65 a 69 anos";33;19;52
"De 70 a 74 anos";27;21;48
"De 75 a 79 anos";13;14;27
"De 80 anos ou mais";19;13;32
"Total";1460;1421;2881
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

