 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 172085 Sucupira
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";75;70;145
"De 5 a 9 anos";83;75;158
"De 10 a 14 anos";93;100;193
"De 15 a 19 anos";87;99;186
"De 20 a 24 anos";75;66;141
"De 25 a 29 anos";62;63;125
"De 30 a 34 anos";68;90;158
"De 35 a 39 anos";67;84;151
"De 40 a 44 anos";68;67;135
"De 45 a 49 anos";44;39;83
"De 50 a 54 anos";41;44;85
"De 55 a 59 anos";46;39;85
"De 60 a 64 anos";40;30;70
"De 65 a 69 anos";39;27;66
"De 70 a 74 anos";20;18;38
"De 75 a 79 anos";10;10;20
"De 80 anos ou mais";13;12;25
"Total";931;933;1864
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

