 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 172125 Tupirama
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";86;82;168
"De 5 a 9 anos";85;70;155
"De 10 a 14 anos";81;68;149
"De 15 a 19 anos";73;79;152
"De 20 a 24 anos";90;85;175
"De 25 a 29 anos";79;84;163
"De 30 a 34 anos";76;77;153
"De 35 a 39 anos";81;71;152
"De 40 a 44 anos";77;69;146
"De 45 a 49 anos";63;51;114
"De 50 a 54 anos";45;53;98
"De 55 a 59 anos";48;39;87
"De 60 a 64 anos";27;36;63
"De 65 a 69 anos";20;22;42
"De 70 a 74 anos";19;13;32
"De 75 a 79 anos";9;10;19
"De 80 anos ou mais";10;13;23
"Total";969;922;1891
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

