 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 172130 Tupiratins
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";79;86;165
"De 5 a 9 anos";87;96;183
"De 10 a 14 anos";98;86;184
"De 15 a 19 anos";72;51;123
"De 20 a 24 anos";49;49;98
"De 25 a 29 anos";35;44;79
"De 30 a 34 anos";48;55;103
"De 35 a 39 anos";48;33;81
"De 40 a 44 anos";30;43;73
"De 45 a 49 anos";38;26;64
"De 50 a 54 anos";28;26;54
"De 55 a 59 anos";28;22;50
"De 60 a 64 anos";19;22;41
"De 65 a 69 anos";26;13;39
"De 70 a 74 anos";11;13;24
"De 75 a 79 anos";8;11;19
"De 80 anos ou mais";12;12;24
"Total";716;688;1404
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

