 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 172210 Xambioá
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";660;626;1286
"De 5 a 9 anos";707;652;1359
"De 10 a 14 anos";718;682;1400
"De 15 a 19 anos";691;692;1383
"De 20 a 24 anos";591;532;1123
"De 25 a 29 anos";478;461;939
"De 30 a 34 anos";405;389;794
"De 35 a 39 anos";367;375;742
"De 40 a 44 anos";309;330;639
"De 45 a 49 anos";212;255;467
"De 50 a 54 anos";191;194;385
"De 55 a 59 anos";153;159;312
"De 60 a 64 anos";152;145;297
"De 65 a 69 anos";125;132;257
"De 70 a 74 anos";108;94;202
"De 75 a 79 anos";84;74;158
"De 80 anos ou mais";78;63;141
"Total";6029;5855;11884
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

