 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210005 Açailândia
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";4665;4465;9130
"De 5 a 9 anos";5072;4828;9900
"De 10 a 14 anos";5793;5552;11345
"De 15 a 19 anos";5774;5520;11294
"De 20 a 24 anos";5452;5415;10867
"De 25 a 29 anos";4918;5109;10027
"De 30 a 34 anos";4651;4872;9523
"De 35 a 39 anos";4142;4320;8462
"De 40 a 44 anos";3386;3577;6963
"De 45 a 49 anos";2864;2961;5825
"De 50 a 54 anos";2408;2456;4864
"De 55 a 59 anos";1842;1936;3778
"De 60 a 64 anos";1432;1531;2963
"De 65 a 69 anos";1077;1140;2217
"De 70 a 74 anos";800;850;1650
"De 75 a 79 anos";539;598;1137
"De 80 anos ou mais";514;597;1111
"Total";55329;55727;111056
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

