 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210010 Afonso Cunha
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";409;382;791
"De 5 a 9 anos";371;392;763
"De 10 a 14 anos";375;364;739
"De 15 a 19 anos";334;332;666
"De 20 a 24 anos";275;283;558
"De 25 a 29 anos";233;216;449
"De 30 a 34 anos";174;196;370
"De 35 a 39 anos";158;147;305
"De 40 a 44 anos";142;124;266
"De 45 a 49 anos";120;119;239
"De 50 a 54 anos";99;100;199
"De 55 a 59 anos";76;80;156
"De 60 a 64 anos";60;65;125
"De 65 a 69 anos";63;55;118
"De 70 a 74 anos";36;33;69
"De 75 a 79 anos";27;22;49
"De 80 anos ou mais";31;36;67
"Total";2983;2946;5929
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

