 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210020 Alcântara
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";981;938;1919
"De 5 a 9 anos";1051;1018;2069
"De 10 a 14 anos";1067;985;2052
"De 15 a 19 anos";1009;981;1990
"De 20 a 24 anos";984;913;1897
"De 25 a 29 anos";975;955;1930
"De 30 a 34 anos";929;912;1841
"De 35 a 39 anos";831;775;1606
"De 40 a 44 anos";659;652;1311
"De 45 a 49 anos";588;583;1171
"De 50 a 54 anos";539;518;1057
"De 55 a 59 anos";431;445;876
"De 60 a 64 anos";370;339;709
"De 65 a 69 anos";276;260;536
"De 70 a 74 anos";229;203;432
"De 75 a 79 anos";159;162;321
"De 80 anos ou mais";148;190;338
"Total";11226;10829;22055
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

