 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210043 Alto Alegre do Maranhão
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1421;1367;2788
"De 5 a 9 anos";1321;1311;2632
"De 10 a 14 anos";1220;1291;2511
"De 15 a 19 anos";1300;1409;2709
"De 20 a 24 anos";1108;1143;2251
"De 25 a 29 anos";801;819;1620
"De 30 a 34 anos";592;687;1279
"De 35 a 39 anos";571;618;1189
"De 40 a 44 anos";502;528;1030
"De 45 a 49 anos";437;446;883
"De 50 a 54 anos";355;370;725
"De 55 a 59 anos";270;313;583
"De 60 a 64 anos";255;282;537
"De 65 a 69 anos";230;215;445
"De 70 a 74 anos";162;150;312
"De 75 a 79 anos";102;85;187
"De 80 anos ou mais";103;110;213
"Total";10750;11144;21894
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

