 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210083 Apicum-Açu
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";864;828;1692
"De 5 a 9 anos";875;889;1764
"De 10 a 14 anos";900;820;1720
"De 15 a 19 anos";757;657;1414
"De 20 a 24 anos";546;470;1016
"De 25 a 29 anos";395;358;753
"De 30 a 34 anos";324;302;626
"De 35 a 39 anos";314;281;595
"De 40 a 44 anos";259;243;502
"De 45 a 49 anos";237;183;420
"De 50 a 54 anos";170;153;323
"De 55 a 59 anos";135;118;253
"De 60 a 64 anos";144;134;278
"De 65 a 69 anos";109;101;210
"De 70 a 74 anos";83;72;155
"De 75 a 79 anos";41;42;83
"De 80 anos ou mais";26;36;62
"Total";6179;5687;11866
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

