 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210240 Cajapió
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";549;542;1091
"De 5 a 9 anos";589;615;1204
"De 10 a 14 anos";545;537;1082
"De 15 a 19 anos";572;521;1093
"De 20 a 24 anos";506;524;1030
"De 25 a 29 anos";496;527;1023
"De 30 a 34 anos";469;419;888
"De 35 a 39 anos";342;355;697
"De 40 a 44 anos";287;266;553
"De 45 a 49 anos";249;234;483
"De 50 a 54 anos";218;202;420
"De 55 a 59 anos";177;168;345
"De 60 a 64 anos";140;140;280
"De 65 a 69 anos";135;117;252
"De 70 a 74 anos";108;103;211
"De 75 a 79 anos";76;87;163
"De 80 anos ou mais";70;92;162
"Total";5528;5449;10977
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

