 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210280 Carolina
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1320;1243;2563
"De 5 a 9 anos";1360;1263;2623
"De 10 a 14 anos";1419;1292;2711
"De 15 a 19 anos";1324;1199;2523
"De 20 a 24 anos";1173;1080;2253
"De 25 a 29 anos";984;906;1890
"De 30 a 34 anos";791;777;1568
"De 35 a 39 anos";707;693;1400
"De 40 a 44 anos";649;641;1290
"De 45 a 49 anos";595;578;1173
"De 50 a 54 anos";484;521;1005
"De 55 a 59 anos";410;438;848
"De 60 a 64 anos";358;378;736
"De 65 a 69 anos";324;312;636
"De 70 a 74 anos";241;267;508
"De 75 a 79 anos";178;182;360
"De 80 anos ou mais";198;224;422
"Total";12515;11994;24509
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

