 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210360 Coroatá
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3689;3547;7236
"De 5 a 9 anos";3704;3536;7240
"De 10 a 14 anos";3296;3261;6557
"De 15 a 19 anos";3531;3502;7033
"De 20 a 24 anos";2954;2833;5787
"De 25 a 29 anos";2173;2192;4365
"De 30 a 34 anos";1733;1771;3504
"De 35 a 39 anos";1586;1713;3299
"De 40 a 44 anos";1400;1560;2960
"De 45 a 49 anos";1167;1314;2481
"De 50 a 54 anos";1029;1133;2162
"De 55 a 59 anos";892;979;1871
"De 60 a 64 anos";779;850;1629
"De 65 a 69 anos";670;652;1322
"De 70 a 74 anos";459;488;947
"De 75 a 79 anos";289;320;609
"De 80 anos ou mais";355;454;809
"Total";29706;30105;59811
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

