 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210542 Itinga do Maranhão
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1175;1121;2296
"De 5 a 9 anos";1353;1259;2612
"De 10 a 14 anos";1374;1306;2680
"De 15 a 19 anos";1416;1349;2765
"De 20 a 24 anos";1168;1134;2302
"De 25 a 29 anos";1008;1081;2089
"De 30 a 34 anos";975;1026;2001
"De 35 a 39 anos";833;915;1748
"De 40 a 44 anos";746;740;1486
"De 45 a 49 anos";670;679;1349
"De 50 a 54 anos";561;554;1115
"De 55 a 59 anos";461;465;926
"De 60 a 64 anos";399;364;763
"De 65 a 69 anos";298;282;580
"De 70 a 74 anos";217;202;419
"De 75 a 79 anos";145;127;272
"De 80 anos ou mais";125;131;256
"Total";12924;12735;25659
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

