 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210547 Jenipapo dos Vieiras
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";967;933;1900
"De 5 a 9 anos";1025;995;2020
"De 10 a 14 anos";931;907;1838
"De 15 a 19 anos";903;862;1765
"De 20 a 24 anos";798;745;1543
"De 25 a 29 anos";676;654;1330
"De 30 a 34 anos";625;569;1194
"De 35 a 39 anos";531;447;978
"De 40 a 44 anos";393;340;733
"De 45 a 49 anos";316;288;604
"De 50 a 54 anos";253;234;487
"De 55 a 59 anos";191;181;372
"De 60 a 64 anos";161;163;324
"De 65 a 69 anos";146;156;302
"De 70 a 74 anos";117;135;252
"De 75 a 79 anos";92;86;178
"De 80 anos ou mais";91;108;199
"Total";8216;7803;16019
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

