 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210620 Luís Domingues
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";324;310;634
"De 5 a 9 anos";336;299;635
"De 10 a 14 anos";365;315;680
"De 15 a 19 anos";338;307;645
"De 20 a 24 anos";372;318;690
"De 25 a 29 anos";332;311;643
"De 30 a 34 anos";284;283;567
"De 35 a 39 anos";252;237;489
"De 40 a 44 anos";222;213;435
"De 45 a 49 anos";173;168;341
"De 50 a 54 anos";161;121;282
"De 55 a 59 anos";130;114;244
"De 60 a 64 anos";95;105;200
"De 65 a 69 anos";71;67;138
"De 70 a 74 anos";53;54;107
"De 75 a 79 anos";43;47;90
"De 80 anos ou mais";47;50;97
"Total";3598;3319;6917
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

