 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210630 Magalhães de Almeida
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";900;894;1794
"De 5 a 9 anos";864;854;1718
"De 10 a 14 anos";881;897;1778
"De 15 a 19 anos";887;773;1660
"De 20 a 24 anos";670;566;1236
"De 25 a 29 anos";430;426;856
"De 30 a 34 anos";399;343;742
"De 35 a 39 anos";331;310;641
"De 40 a 44 anos";257;266;523
"De 45 a 49 anos";263;255;518
"De 50 a 54 anos";220;233;453
"De 55 a 59 anos";183;195;378
"De 60 a 64 anos";179;151;330
"De 65 a 69 anos";164;135;299
"De 70 a 74 anos";90;92;182
"De 75 a 79 anos";92;73;165
"De 80 anos ou mais";82;91;173
"Total";6892;6554;13446
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

