 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210670 Mirador
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1399;1459;2858
"De 5 a 9 anos";1428;1426;2854
"De 10 a 14 anos";1342;1293;2635
"De 15 a 19 anos";1257;1149;2406
"De 20 a 24 anos";989;845;1834
"De 25 a 29 anos";736;618;1354
"De 30 a 34 anos";565;572;1137
"De 35 a 39 anos";548;513;1061
"De 40 a 44 anos";471;481;952
"De 45 a 49 anos";401;392;793
"De 50 a 54 anos";335;319;654
"De 55 a 59 anos";255;266;521
"De 60 a 64 anos";227;250;477
"De 65 a 69 anos";180;191;371
"De 70 a 74 anos";116;120;236
"De 75 a 79 anos";95;108;203
"De 80 anos ou mais";109;122;231
"Total";10453;10124;20577
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

