 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210700 Montes Altos
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";475;433;908
"De 5 a 9 anos";551;507;1058
"De 10 a 14 anos";559;513;1072
"De 15 a 19 anos";510;467;977
"De 20 a 24 anos";426;376;802
"De 25 a 29 anos";361;378;739
"De 30 a 34 anos";350;367;717
"De 35 a 39 anos";303;284;587
"De 40 a 44 anos";298;241;539
"De 45 a 49 anos";227;216;443
"De 50 a 54 anos";190;193;383
"De 55 a 59 anos";168;165;333
"De 60 a 64 anos";142;144;286
"De 65 a 69 anos";138;94;232
"De 70 a 74 anos";108;77;185
"De 75 a 79 anos";70;58;128
"De 80 anos ou mais";87;75;162
"Total";4963;4588;9551
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

