 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210720 Nina Rodrigues
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";738;718;1456
"De 5 a 9 anos";775;755;1530
"De 10 a 14 anos";681;675;1356
"De 15 a 19 anos";621;642;1263
"De 20 a 24 anos";512;486;998
"De 25 a 29 anos";338;340;678
"De 30 a 34 anos";279;254;533
"De 35 a 39 anos";251;239;490
"De 40 a 44 anos";209;220;429
"De 45 a 49 anos";172;174;346
"De 50 a 54 anos";165;153;318
"De 55 a 59 anos";144;126;270
"De 60 a 64 anos";93;106;199
"De 65 a 69 anos";77;83;160
"De 70 a 74 anos";72;56;128
"De 75 a 79 anos";40;28;68
"De 80 anos ou mais";43;46;89
"Total";5210;5101;10311
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

