 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210770 Paraibano
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";814;778;1592
"De 5 a 9 anos";848;833;1681
"De 10 a 14 anos";922;943;1865
"De 15 a 19 anos";853;944;1797
"De 20 a 24 anos";994;1003;1997
"De 25 a 29 anos";966;931;1897
"De 30 a 34 anos";874;870;1744
"De 35 a 39 anos";756;771;1527
"De 40 a 44 anos";680;667;1347
"De 45 a 49 anos";558;616;1174
"De 50 a 54 anos";506;580;1086
"De 55 a 59 anos";452;498;950
"De 60 a 64 anos";385;412;797
"De 65 a 69 anos";285;349;634
"De 70 a 74 anos";225;283;508
"De 75 a 79 anos";185;205;390
"De 80 anos ou mais";172;228;400
"Total";10475;10911;21386
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

