 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210780 Parnarama
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1620;1552;3172
"De 5 a 9 anos";1775;1636;3411
"De 10 a 14 anos";1831;1722;3553
"De 15 a 19 anos";1722;1703;3425
"De 20 a 24 anos";1519;1482;3001
"De 25 a 29 anos";1392;1347;2739
"De 30 a 34 anos";1308;1361;2669
"De 35 a 39 anos";1200;1173;2373
"De 40 a 44 anos";917;918;1835
"De 45 a 49 anos";806;781;1587
"De 50 a 54 anos";752;797;1549
"De 55 a 59 anos";668;690;1358
"De 60 a 64 anos";552;575;1127
"De 65 a 69 anos";457;515;972
"De 70 a 74 anos";368;365;733
"De 75 a 79 anos";249;277;526
"De 80 anos ou mais";250;318;568
"Total";17386;17212;34598
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

