 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210845 Peritoró
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1299;1230;2529
"De 5 a 9 anos";1154;1100;2254
"De 10 a 14 anos";1113;1083;2196
"De 15 a 19 anos";1074;1043;2117
"De 20 a 24 anos";882;799;1681
"De 25 a 29 anos";567;585;1152
"De 30 a 34 anos";499;536;1035
"De 35 a 39 anos";487;514;1001
"De 40 a 44 anos";364;452;816
"De 45 a 49 anos";379;418;797
"De 50 a 54 anos";326;322;648
"De 55 a 59 anos";270;283;553
"De 60 a 64 anos";219;258;477
"De 65 a 69 anos";194;187;381
"De 70 a 74 anos";109;131;240
"De 75 a 79 anos";92;100;192
"De 80 anos ou mais";119;112;231
"Total";9147;9153;18300
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

