 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210870 Pio XII
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1020;978;1998
"De 5 a 9 anos";1154;1062;2216
"De 10 a 14 anos";1161;1074;2235
"De 15 a 19 anos";1200;1091;2291
"De 20 a 24 anos";1067;986;2053
"De 25 a 29 anos";878;891;1769
"De 30 a 34 anos";758;827;1585
"De 35 a 39 anos";668;730;1398
"De 40 a 44 anos";565;611;1176
"De 45 a 49 anos";497;552;1049
"De 50 a 54 anos";424;472;896
"De 55 a 59 anos";345;397;742
"De 60 a 64 anos";298;382;680
"De 65 a 69 anos";272;311;583
"De 70 a 74 anos";209;214;423
"De 75 a 79 anos";157;177;334
"De 80 anos ou mais";162;221;383
"Total";10835;10976;21811
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

